domain	qualname	module	kind	signature
geopackage	GeoPackage.read_observed_values	_geopackage	method	(self, series_id: int) -> Tuple[List[str], npt.NDArray[np.float64]]
geopackage	GeoPackage.read_result_ts	_geopackage	method	(self, sim_id: str, obj_type: str, obj_id: str, variable: str) -> Tuple[npt.NDArray[np.float64], npt.NDArray[np.float64]]
geopackage	GeoPackage.read_summary	_geopackage	method	(self, sim_id: str, obj_type: str, obj_id: str, variable: str) -> float
geopackage	GeoPackage.result_ts_count	_geopackage	method	(self, sim_id: str, obj_type: str, obj_id: str, variable: str) -> int
geopackage	GeoPackage.rollback	_geopackage	method	(self) -> None
geopackage	GeoPackage.simulation_count	_geopackage	method	(self) -> int
geopackage	GeoPackage.simulation_ids	_geopackage	method	(self) -> List[str]
geopackage	GeoPackage.topology_edge_count	_geopackage	method	(self, sim_id: str) -> int
geopackage	GeoPackage.variable_count	_geopackage	method	(self) -> int
geopackage	GeoPackage.write_observed_value	_geopackage	method	(self, series_id: int, timestamp: str, value: float, flag: str='') -> None
geopackage	GeoPackage.write_observed_values	_geopackage	method	(self, series_id: int, timestamps: List[str], values: npt.ArrayLike, flags: Optional[List[str]]=None) -> None
geopackage	is_registered	_geopackage	function	() -> bool
geopackage	register	_geopackage	function	(key: str='', org: str='', email: str='', deploy: str='') -> bool
hotstart	HotStart.__enter__	_hotstart	method	(self) -> 'HotStart'
hotstart	HotStart.__exit__	_hotstart	method	(self, exc_type: Optional[Type[BaseException]], exc_val: Optional[BaseException], exc_tb: Optional[TracebackType]) -> bool
hotstart	HotStart.__init__	_hotstart	method	(self) -> None
hotstart	HotStart.apply	_hotstart	method	(self, solver: Solver) -> None
hotstart	HotStart.close	_hotstart	method	(self) -> None
hotstart	HotStart.get_crs	_hotstart	method	(self) -> str
hotstart	HotStart.get_sim_time	_hotstart	method	(self) -> float
hotstart	HotStart.get_warning	_hotstart	method	(self, index: int) -> str
hotstart	HotStart.link_count	_hotstart	method	(self) -> int
hotstart	HotStart.node_count	_hotstart	method	(self) -> int
hotstart	HotStart.open	_hotstart	classmethod	(cls, path: str) -> 'HotStart'
hotstart	HotStart.save	_hotstart	staticmethod	(solver: Solver, path: str) -> None
hotstart	HotStart.saves_add	_hotstart	staticmethod	(solver: Solver, path: str, datetime: float=0.0) -> None
hotstart	HotStart.saves_clear	_hotstart	staticmethod	(solver: Solver) -> None
hotstart	HotStart.saves_count	_hotstart	staticmethod	(solver: Solver) -> int
hotstart	HotStart.saves_get_datetime	_hotstart	staticmethod	(solver: Solver, idx: int) -> float
hotstart	HotStart.saves_get_path	_hotstart	staticmethod	(solver: Solver, idx: int) -> str
hotstart	HotStart.saves_remove	_hotstart	staticmethod	(solver: Solver, idx: int) -> None
hotstart	HotStart.saves_set_datetime	_hotstart	staticmethod	(solver: Solver, idx: int, datetime: float) -> None
hotstart	HotStart.saves_set_path	_hotstart	staticmethod	(solver: Solver, idx: int, path: str) -> None
hotstart	HotStart.set_link_depth	_hotstart	method	(self, link_id: str, depth: float) -> None
hotstart	HotStart.set_link_flow	_hotstart	method	(self, link_id: str, flow: float) -> None
hotstart	HotStart.set_node_depth	_hotstart	method	(self, node_id: str, depth: float) -> None
hotstart	HotStart.set_node_head	_hotstart	method	(self, node_id: str, head: float) -> None
hotstart	HotStart.set_subcatch_runoff	_hotstart	method	(self, subcatch_id: str, runoff: float) -> None
hotstart	HotStart.warning_count	_hotstart	method	(self) -> int
inflows	Inflows.__init__	_inflows	method	(self, solver: Solver) -> None
inflows	Inflows.add_dwf	_inflows	method	(self, node_idx: int, constituent: str, avg_value: float, pat1: str='', pat2: str='', pat3: str='', pat4: str='') -> None
inflows	Inflows.add_external	_inflows	method	(self, node_idx: int, constituent: str, ts_name: str='', type: str='FLOW', m_factor: float=1.0, s_factor: float=1.0, baseline: float=0.0, pattern: str='') -> None
inflows	Inflows.add_hydrograph	_inflows	method	(self, uh_name: str, month: int, response: int, r: float, t: float, k: float, dmax: float=0.0, drecov: float=0.0, dinit: float=0.0) -> None
inflows	Inflows.add_hydrograph_gage	_inflows	method	(self, uh_name: str, gage_name: str) -> None
inflows	Inflows.add_rdii	_inflows	method	(self, node_idx: int, uh_name: str, area: float) -> None
inflows	Inflows.add_rdii_decay	_inflows	method	(self, uh_name: str, response: int, k_dep: float, k_0: float, k_T: float, T_ref: float=10.0, theta_rec: float=0.0, T_freeze: float=0.0) -> None
inflows	Inflows.dwf_count	_inflows	method	(self) -> int
inflows	Inflows.ext_inflow_count	_inflows	method	(self) -> int
inflows	Inflows.get_hydrograph	_inflows	method	(self, entry_idx: int) -> HydrographEntry
inflows	Inflows.get_hydrograph_gage	_inflows	method	(self, entry_idx: int) -> Tuple[str, str]
inflows	Inflows.get_rdii	_inflows	method	(self, entry_idx: int) -> Tuple[int, str, float]
inflows	Inflows.get_rdii_decay	_inflows	method	(self, entry_idx: int) -> RDIIDecayEntry
inflows	Inflows.hydrograph_count	_inflows	method	(self) -> int
inflows	Inflows.hydrograph_gage_count	_inflows	method	(self) -> int
inflows	Inflows.rdii_count	_inflows	method	(self) -> int
inflows	Inflows.rdii_decay_count	_inflows	method	(self) -> int
infrastructure	Infrastructure.__init__	_infrastructure	method	(self, solver: Solver) -> None
infrastructure	Infrastructure.inlet_add	_infrastructure	method	(self, inlet_id: str, inlet_type: str) -> int
infrastructure	Infrastructure.inlet_count	_infrastructure	method	(self) -> int
infrastructure	Infrastructure.inlet_set_params	_infrastructure	method	(self, idx: int, length: float, width: float, grate_type: str, open_area: float, splash_veloc: float) -> None
infrastructure	Infrastructure.lid_add	_infrastructure	method	(self, lid_id: str, lid_type: int) -> int
infrastructure	Infrastructure.lid_count	_infrastructure	method	(self) -> int
infrastructure	Infrastructure.lid_set_drain	_infrastructure	method	(self, idx: int, coeff: float, expon: float, offset: float) -> None
infrastructure	Infrastructure.lid_set_soil	_infrastructure	method	(self, idx: int, thick: float, porosity: float, fc: float, wp: float, ksat: float, kslope: float) -> None
infrastructure	Infrastructure.lid_set_storage	_infrastructure	method	(self, idx: int, thick: float, void_frac: float, ksat: float) -> None
infrastructure	Infrastructure.lid_set_surface	_infrastructure	method	(self, idx: int, storage: float, roughness: float, slope: float) -> None
infrastructure	Infrastructure.lid_usage_add	_infrastructure	method	(self, subcatch_idx: int, lid_idx: int, number: int, area: float, width: float, init_sat: float, from_imperv: float) -> None
infrastructure	Infrastructure.street_add	_infrastructure	method	(self, street_id: str) -> int
infrastructure	Infrastructure.street_count	_infrastructure	method	(self) -> int
infrastructure	Infrastructure.street_set_params	_infrastructure	method	(self, idx: int, t_crown: float, h_curb: float, sx: float, n_road: float, gutter_depres: float, gutter_width: float, sides: int, back_width: float, back_slope: float, back_n: float) -> None
infrastructure	Infrastructure.transect_add	_infrastructure	method	(self, transect_id: str) -> int
infrastructure	Infrastructure.transect_add_station	_infrastructure	method	(self, idx: int, station: float, elevation: float) -> None
infrastructure	Infrastructure.transect_count	_infrastructure	method	(self) -> int
infrastructure	Infrastructure.transect_set_roughness	_infrastructure	method	(self, idx: int, n_left: float, n_right: float, n_channel: float) -> None
links	Links.__init__	_links	method	(self, solver: Solver) -> None
links	Links._resolve	_links	method	(self, idx: Union[int, str]) -> int
links	Links.add	_links	method	(self, link_id: str, link_type: int) -> int
links	Links.count	_links	method	(self) -> int
links	Links.get_barrels	_links	method	(self, idx: Union[int, str]) -> int
links	Links.get_capacity	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_closed	_links	method	(self, idx: Union[int, str]) -> bool
links	Links.get_control_setting	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_crest_height	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_culvert_code	_links	method	(self, idx: Union[int, str]) -> int
links	Links.get_depth	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_depths_bulk	_links	method	(self) -> npt.NDArray[np.float64]
links	Links.get_discharge_coeff	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_end_contractions	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_flap_gate	_links	method	(self, idx: Union[int, str]) -> bool
links	Links.get_flow	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_flows_bulk	_links	method	(self) -> npt.NDArray[np.float64]
links	Links.get_from_node	_links	method	(self, idx: Union[int, str]) -> int
links	Links.get_hyd_power	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_id	_links	method	(self, idx: int) -> str
links	Links.get_index	_links	method	(self, link_id: str) -> int
links	Links.get_length	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_loss_coeff	_links	method	(self, idx: Union[int, str]) -> Tuple[float, float, float]
links	Links.get_offset_dn	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_offset_up	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_pump_curve	_links	method	(self, idx: Union[int, str]) -> int
links	Links.get_pump_init_state	_links	method	(self, idx: Union[int, str]) -> bool
links	Links.get_quality	_links	method	(self, idx: Union[int, str], pollutant_idx: int) -> float
links	Links.get_quality_bulk	_links	method	(self, pollutant_idx: int) -> npt.NDArray[np.float64]
links	Links.get_roughness	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_seep_rate	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_slope	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_stat_max_filling	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_stat_max_flow	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_stat_max_velocity	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_stat_pump_cycles	_links	method	(self, idx: Union[int, str]) -> int
links	Links.get_stat_pump_on_time	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_stat_pump_volume	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_stat_surcharge_time	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_stat_vol_flow	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_target_setting	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_to_node	_links	method	(self, idx: Union[int, str]) -> int
links	Links.get_type	_links	method	(self, idx: Union[int, str]) -> int
links	Links.get_velocity	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_volume	_links	method	(self, idx: Union[int, str]) -> float
links	Links.get_xsect	_links	method	(self, idx: Union[int, str]) -> Tuple[int, float, float, float, float]
links	Links.get_xsect_info	_links	method	(self, idx: Union[int, str]) -> 'CrossSection'
links	Links.pop_last	_links	method	(self, link_id: str) -> int
links	Links.rename	_links	method	(self, idx: Union[int, str], new_id: str) -> None
links	Links.set_barrels	_links	method	(self, idx: Union[int, str], n: int) -> None
links	Links.set_closed	_links	method	(self, idx: Union[int, str], closed: bool) -> None
links	Links.set_control_setting	_links	method	(self, idx: Union[int, str], setting: float) -> None
links	Links.set_crest_height	_links	method	(self, idx: Union[int, str], h: float) -> None
links	Links.set_culvert_code	_links	method	(self, idx: Union[int, str], code: int) -> None
links	Links.set_discharge_coeff	_links	method	(self, idx: Union[int, str], cd: float) -> None
links	Links.set_end_contractions	_links	method	(self, idx: Union[int, str], n: float) -> None
links	Links.set_flap_gate	_links	method	(self, idx: Union[int, str], has_gate: bool) -> None
links	Links.set_flow	_links	method	(self, idx: Union[int, str], value: float) -> None
links	Links.set_flows_bulk	_links	method	(self, values: npt.NDArray[np.float64]) -> None
links	Links.set_initial_flow	_links	method	(self, idx: Union[int, str], flow: float) -> None
links	Links.set_length	_links	method	(self, idx: Union[int, str], length: float) -> None
links	Links.set_loss_coeff	_links	method	(self, idx: Union[int, str], inlet: float, outlet: float, avg: float) -> None
links	Links.set_max_flow	_links	method	(self, idx: Union[int, str], flow: float) -> None
links	Links.set_nodes	_links	method	(self, idx: Union[int, str], from_node: int, to_node: int) -> None
links	Links.set_offset_dn	_links	method	(self, idx: Union[int, str], offset: float) -> None
links	Links.set_offset_up	_links	method	(self, idx: Union[int, str], offset: float) -> None
links	Links.set_pump_curve	_links	method	(self, idx: Union[int, str], curve_idx: int) -> None
links	Links.set_pump_init_state	_links	method	(self, idx: Union[int, str], on: bool) -> None
links	Links.set_roughness	_links	method	(self, idx: Union[int, str], n: float) -> None
links	Links.set_seep_rate	_links	method	(self, idx: Union[int, str], rate: float) -> None
links	Links.set_target_setting	_links	method	(self, idx: Union[int, str], setting: float) -> None
links	Links.set_xsect	_links	method	(self, idx: Union[int, str], shape: int, geom1: float, geom2: float=0.0, geom3: float=0.0, geom4: float=0.0) -> None
massbalance	MassBalance.__init__	_massbalance	method	(self, solver: Solver) -> None
massbalance	MassBalance.get_max_courant	_massbalance	method	(self) -> float
massbalance	MassBalance.get_quality_continuity_error	_massbalance	method	(self, pollutant_idx: int) -> float
massbalance	MassBalance.get_quality_evap_loss	_massbalance	method	(self, pollutant_idx: int) -> float
massbalance	MassBalance.get_quality_seep_loss	_massbalance	method	(self, pollutant_idx: int) -> float
massbalance	MassBalance.get_routing_continuity_error	_massbalance	method	(self) -> float
massbalance	MassBalance.get_routing_stats	_massbalance	method	(self) -> dict
massbalance	MassBalance.get_routing_total	_massbalance	method	(self, component: int) -> float
massbalance	MassBalance.get_runoff_continuity_error	_massbalance	method	(self) -> float
massbalance	MassBalance.get_runoff_total	_massbalance	method	(self, component: int) -> float
model	ModelBuilder.__init__	_model	method	(self) -> None
model	ModelBuilder.add_gage	_model	method	(self, gage_id: str) -> int
model	ModelBuilder.add_link	_model	method	(self, link_id: str, link_type: int) -> int
model	ModelBuilder.add_node	_model	method	(self, node_id: str, node_type: int) -> int
model	ModelBuilder.add_subcatch	_model	method	(self, sc_id: str) -> int
model	ModelBuilder.add_subcatchment	_model	method	(self, sc_id: str) -> int
model	ModelBuilder.add_title_line	_model	method	(self, line: str) -> None
model	ModelBuilder.clear_title	_model	method	(self) -> None
model	ModelBuilder.files_get	_model	method	(self, key: str) -> str
model	ModelBuilder.files_set	_model	method	(self, key: str, value: str) -> None
model	ModelBuilder.finalize	_model	method	(self) -> None
model	ModelBuilder.get_crs	_model	method	(self) -> str
model	ModelBuilder.get_option	_model	method	(self, key: str) -> str
model	ModelBuilder.get_option_ext	_model	method	(self, key: str) -> str
model	ModelBuilder.get_title_count	_model	method	(self) -> int
model	ModelBuilder.get_title_line	_model	method	(self, index: int) -> str
model	ModelBuilder.get_userflag_bool	_model	method	(self, name: str) -> bool
model	ModelBuilder.get_userflag_int	_model	method	(self, name: str) -> int
model	ModelBuilder.get_userflag_real	_model	method	(self, name: str) -> float
model	ModelBuilder.handle	_model	property	(self) -> int
model	ModelBuilder.plugin_get	_model	method	(self, idx: int) -> tuple[str, str]
model	ModelBuilder.plugin_remove	_model	method	(self, path_or_id: str) -> None
model	ModelBuilder.plugin_set	_model	method	(self, path_or_id: str, args: str='') -> None
model	ModelBuilder.plugins_count	_model	method	(self) -> int
model	ModelBuilder.pop_last_link	_model	method	(self, link_id: str) -> int
model	ModelBuilder.pop_last_node	_model	method	(self, node_id: str) -> int
model	ModelBuilder.set_link_length	_model	method	(self, idx: int, length: float) -> None
model	ModelBuilder.set_link_nodes	_model	method	(self, idx: int, from_node: int, to_node: int) -> None
model	ModelBuilder.set_link_roughness	_model	method	(self, idx: int, n: float) -> None
model	ModelBuilder.set_link_xsect	_model	method	(self, idx: int, shape: int, g1: float, g2: float=0, g3: float=0, g4: float=0) -> None
model	ModelBuilder.set_node_invert	_model	method	(self, idx: int, elev: float) -> None
model	ModelBuilder.set_node_max_depth	_model	method	(self, idx: int, depth: float) -> None
model	ModelBuilder.set_option	_model	method	(self, key: str, value: str) -> None
model	ModelBuilder.set_option_ext	_model	method	(self, key: str, value: str) -> None
model	ModelBuilder.set_title	_model	method	(self, text: str) -> None
model	ModelBuilder.set_userflag_bool	_model	method	(self, name: str, value: bool) -> None
model	ModelBuilder.set_userflag_int	_model	method	(self, name: str, value: int) -> None
model	ModelBuilder.set_userflag_real	_model	method	(self, name: str, value: float) -> None
model	ModelBuilder.to_solver	_model	method	(self) -> Solver
model	ModelBuilder.validate	_model	method	(self) -> None
model	ModelBuilder.write	_model	method	(self, path: str) -> None
model	ModelBuilder.write_with_plugin	_model	method	(self, path: str, output_plugin_id: str='') -> None
nodes	Nodes.__init__	_nodes	method	(self, solver: Solver) -> None
nodes	Nodes._resolve	_nodes	method	(self, idx: Union[int, str]) -> int
nodes	Nodes.add	_nodes	method	(self, node_id: str, node_type: int) -> int
nodes	Nodes.count	_nodes	method	(self) -> int
nodes	Nodes.get_crown_elev	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_degree	_nodes	method	(self, idx: Union[int, str]) -> int
nodes	Nodes.get_depth	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_depth_from_volume	_nodes	method	(self, idx: Union[int, str], volume: float) -> float
nodes	Nodes.get_depths_bulk	_nodes	method	(self) -> npt.NDArray[np.float64]
nodes	Nodes.get_divider_type	_nodes	method	(self, idx: Union[int, str]) -> int
nodes	Nodes.get_exfil_params	_nodes	method	(self, idx: Union[int, str]) -> Tuple[float, float, float]
nodes	Nodes.get_full_volume	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_head	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_heads_bulk	_nodes	method	(self) -> npt.NDArray[np.float64]
nodes	Nodes.get_id	_nodes	method	(self, idx: int) -> str
nodes	Nodes.get_index	_nodes	method	(self, node_id: str) -> int
nodes	Nodes.get_inflow	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_inflows_bulk	_nodes	method	(self) -> npt.NDArray[np.float64]
nodes	Nodes.get_initial_depth	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_invert_elev	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_lateral_inflow	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_losses	_nodes	method	(self, idx: Union[int, str]) -> float
nodes	Nodes.get_max_depth	_nodes	method	(self, idx: Union[int, str]) -> float
